名称	组	配置文件	已启用	操作	替代	程序	本地地址	远程地址	协议	本地端口	远程端口	授权的用户	授权的计算机	授权的本地主体	本地用户所有者	应用程序包	
A_AAb		所有	是	允许	否	G:\安装器\QQ音乐下载器 1.9.1\QQ音乐下载器1.9.1.exe	192.168.0.0/24	任何	任何	任何	任何	任何	任何	任何	任何	任何	
adb		所有	是	允许	否	D:\TxGameAssistant\UI\adb.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
adb		所有	是	允许	否	D:\TxGameAssistant\UI\adb.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
AndroidEmulator		所有	是	允许	否	D:\TxGameAssistant\UI\AndroidEmulator.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
AndroidEmulator		所有	是	允许	否	D:\TxGameAssistant\UI\AndroidEmulator.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
AppMarket		所有	是	允许	否	D:\TxGameAssistant\AppMarket\AppMarket.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
AppMarket		所有	是	允许	否	D:\TxGameAssistant\AppMarket\AppMarket.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
BaiduNetdisk		公用	是	允许	否	D:\baidunetdisk\baidunetdisk.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
BaiduNetdisk		公用	是	允许	否	D:\baidunetdisk\baidunetdisk.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
bugreport		所有	是	允许	否	D:\TxGameAssistant\UI\bugreport.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
bugreport		所有	是	允许	否	D:\TxGameAssistant\UI\bugreport.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
bugreport		所有	是	允许	否	D:\TxGameAssistant\AppMarket\bugreport.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
bugreport		所有	是	允许	否	D:\TxGameAssistant\AppMarket\bugreport.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
Counter-Strike: Global Offensive		所有	是	允许	否	D:\Steam\steamapps\common\Counter-Strike Global Offensive\csgo.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Counter-Strike: Global Offensive		所有	是	允许	否	D:\Steam\steamapps\common\Counter-Strike Global Offensive\csgo.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
deny 445_139		所有	是	阻止	否	任何	任何	任何	UDP	445, 139	任何	任何	任何	任何	任何	任何	
deny 445_139		所有	是	阻止	否	任何	任何	任何	TCP	445, 139	任何	任何	任何	任何	任何	任何	
EasyConnect		公用	是	允许	否	C:\program files (x86)\sangfor\ssl\sangforcsclient\sangforcsclient.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
EasyConnect		公用	是	允许	否	C:\program files (x86)\sangfor\ssl\sangforcsclient\sangforcsclient.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
eclipse		公用	是	允许	否	D:\java-latest\eclipse\eclipse.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
eclipse		公用	是	允许	否	D:\java-latest\eclipse\eclipse.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
eclipse		公用	是	允许	否	D:\java-latest\eclipse\eclipse.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
GameDownload		所有	是	允许	否	D:\TxGameAssistant\AppMarket\GameDownload.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
GameDownload		所有	是	允许	否	D:\TxGameAssistant\AppMarket\GameDownload.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
Java(TM) Platform SE binary		公用	是	允许	否	D:\java\jre\bin\javaw.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Java(TM) Platform SE binary		公用	是	允许	否	D:\java\jre\bin\javaw.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
League of Legends (TM) Client		公用	是	允许	否	G:\wegame\英雄联盟\game\league of legends.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
League of Legends (TM) Client		公用	是	允许	否	G:\wegame\英雄联盟\game\league of legends.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
